"ADM3_PCODE","ADM3_EN","pop_u5","n_children","n_clusters"
"MG12110190","Ambodifarihy Fenomanana",1145.85815429688,0,0
"MG12110210","Sabotsy Namatoana",1017.06011962891,0,0
"MG12110230","Antanimasaka",804.129760742188,0,0
"MG12110250","Behenjy",2880.99438476562,0,0
"MG12110270","Antsampandrano",3816.9677734375,9,1
"MG12110291","Antanamalaza",1366.31555175781,0,0
"MG12110292","Antakasina",3035.74658203125,0,0
"MG12110310","Tsinjoarivo",5902.35595703125,10,1
"MG12110330","Andranovelona",1556.86535644531,0,0
"MG12114010","Antanifotsy",9872.1650390625,15,1
"MG12114030","Ambatolahy",2763.59033203125,0,0
"MG12114110","Ambohimandroso",1534.36254882812,5,1
"MG12114150","Ambatotsipihina",8009.884765625,0,0
"MG12114171","Ambohitompoina",4044.4052734375,0,0
"MG12114172","Belanitra",3501.50830078125,18,1
"MG12114199","Antsahalava",1475.88562011719,0,0
"MG12114230","Ambodiriana",1559.61743164062,0,0
"MG12114290","Antsampandrano",3533.92065429688,0,0
"MG12116010","Faratsiho",3799.55322265625,0,0
"MG12116030","Antsampanimahazo",1235.35559082031,0,0
"MG12116050","Faravohitra",591.1396484375,0,0
"MG12116070","Ramainandro",1860.96838378906,0,0
"MG12116090","Andranomiady",960.791381835938,9,1
"MG12116110","Vinaninony Atsimo",5774.58544921875,4,1
"MG12116130","Ambohiborona",4363.6318359375,0,0
"MG12116150","Miandrarivo",6140.51318359375,0,0
"MG12116170","Valabetokana",768.831726074219,17,1
"MG12118010","Ambano",36647.828125,9,1
"MG12118030","Belazao",527.083374023438,0,0
"MG12118050","Alakamisy",6862.220703125,0,0
"MG12118070","Antanimandry",585.416137695312,7,1
"MG12118090","Vinaninkarena",859.710510253906,0,0
"MG12118110","Andranomanelatra",10810.640625,0,0
"MG12118130","Ambohidranandriana",453.94091796875,11,1
"MG12118150","Ambohimiarivo",260.648468017578,0,0
"MG12118170","Ambohitsimanova",1017.97387695312,0,0
"MG12118190","Mangarano",823.563415527344,9,1
"MG12118210","Manandona",976.104187011719,0,0
"MG12118230","Antsoatany",1959.95129394531,0,0
"MG12118250","Alatsinainy Ibity",1425.26123046875,0,0
"MG12118270","Sahanivotry Manandona",1128.20886230469,0,0
"MG12118290","Soanindrariny",1780.82263183594,0,0
"MG12118310","Ambatomena",1847.94482421875,0,0
"MG12118331","Ambohibary",13911.6748046875,11,1
"MG12118332","Mandrosohasina",5218.248046875,0,0
"MG12118350","Tsarahonenana Sahanivotry",2088.4501953125,0,0
"MG12118370","Antanambao",4975.51123046875,13,1
"MG12120010","Mandoto",3469.03466796875,8,1
"MG12120030","Betsohana",1822.12634277344,0,0
"MG12120050","Antanambao Ambary",2394.8896484375,0,0
"MG12120070","Anjoma Ramartina",3929.27807617188,0,0
"MG12120090","Ankazomiriotra",3040.04907226562,0,0
"MG12120110","Fidirana",4029.39306640625,11,1
"MG12120130","Vasiana",5214.66162109375,0,0
"MG12120150","Vinany",3125.60375976562,0,0
"MG13105010","Arivonimamo I",3453.64404296875,8,1
"MG13105030","Arivonimamo II",995.085815429688,9,1
"MG13105050","Ambohitrambo",1832.35803222656,6,1
"MG13105070","Ampahimanga",938.151733398438,0,0
"MG13105090","Amboanana",1583.69323730469,0,0
"MG13105110","Morafeno",747.31298828125,0,0
"MG13105130","Imerintsiatosika",7182.78076171875,36,3
"MG13105150","Morarano",964.791687011719,0,0
"MG13105170","Ambatomirahavavy",1920.99340820312,0,0
"MG13105190","Ambatomanga",958.548522949219,0,0
"MG13105211","Manalalondo",2273.59057617188,7,1
"MG13105212","Antenimbe",483.612457275391,0,0
"MG13105213","Alakamisikely",844.705017089844,0,0
"MG13105214","Mahatsinjo Est",1545.2236328125,0,0
"MG13105215","Marofangady",394.285003662109,0,0
"MG13105216","Rambolamasoandro Andranomiely",2504.93579101562,0,0
"MG13105230","Ambohimandry",5273.93408203125,8,1
"MG13105250","Antambolo",446.032409667969,5,1
"MG13105270","Ambohimasina",751.490173339844,0,0
"MG13105291","Ambohipandrano",1606.11145019531,10,1
"MG13105292","Miandrandra",1838.65270996094,10,1
"MG13105310","Miantsoarivo",6149.2724609375,0,0
"MG13112010","Miarinarivo I",1732.39831542969,6,1
"MG13112030","Miarinarivo II",2925.01489257812,0,0
"MG13112050","Ambatomanjaka",2475.5751953125,7,1
"MG13112071","Manazary",2423.29077148438,15,1
"MG13112072","Antoby Est",1943.14953613281,0,0
"MG13112090","Soamahamanina",1290.45812988281,0,0
"MG13112111","Analavory",6941.61962890625,7,1
"MG13112112","Alatsinainikely",3003.16430664062,13,1
"MG13112130","Mandiavato",3409.77905273438,0,0
"MG13112151","Anosibe Ifanja",3312.1005859375,22,2
"MG13112152","Sarobaratra Ifanja",4430.8828125,0,0
"MG13112170","Zoma Bealoka",884.4716796875,9,1
"MG13112190","Soavimbazaha",1814.19067382812,0,0
"MG13112210","Andolofotsy",4156.453125,11,1
"MG13113011","Soavinandriana",3209.32299804688,5,1
"MG13113012","Dondona",696.680236816406,0,0
"MG13113030","Ampary",876.165100097656,0,0
"MG13113050","Mananasy",2404.025390625,0,0
"MG13113071","Masindray",705.777404785156,5,1
"MG13113072","Amparibohitra",614.6650390625,12,1
"MG13113090","Ampefy",2773.05151367188,9,1
"MG13113110","Antanetibe",1074.40991210938,11,1
"MG13113131","Amparaky",1146.72436523438,0,0
"MG13113132","Amberomanga",1494.31689453125,0,0
"MG13113150","Ankaranana",1042.71215820312,7,1
"MG13113170","Mahavelona",2165.6435546875,5,1
"MG13113190","Ankisabe",2606.1708984375,7,1
"MG13113210","Ambatoasana Centre",1719.58776855469,0,0
"MG13113230","Tamponala",3639.01806640625,0,0
"MG14111010","Tsiroanomandidy Ville",1806.72082519531,19,3
"MG14111030","Tsiroanomandidy Fihaonana",12101.853515625,17,2
"MG14111051","Ambatolampy",1177.94213867188,0,0
"MG14111052","Maritampona",1183.88415527344,25,1
"MG14111070","Bevato",1738.9580078125,11,1
"MG14111090","Ankadinondry Sakay",5167.21728515625,25,2
"MG14111110","Ankerana Avaratra",905.260986328125,7,1
"MG14111130","Miandrarivo",1128.12646484375,15,1
"MG14111150","Tsinjoarivo Imanga",1723.79089355469,19,2
"MG14111170","Soanierana",617.296875,0,0
"MG14111190","Anosy",1160.62561035156,11,1
"MG14111210","Ambararatabe",1291.40075683594,0,0
"MG14111230","Belobaka",5246.6845703125,10,1
"MG14111250","Ambalanirana",1641.53503417969,7,1
"MG14111270","Mahasolo",5378.86962890625,25,2
"MG14111290","Bemahatazana",2312.41333007812,5,1
"MG14111310","Fierenana",5721.00048828125,7,1
"MG14111330","Maroharona",4866.68505859375,14,1
"MG14119010","Fenoarivo Centre",4584.07861328125,14,1
"MG14119031","Firavahana",5844.25732421875,8,1
"MG14119032","Morarano Maritampona",2287.45629882812,8,1
"MG14119051","Kiranomena",2915.42407226562,10,1
"MG14119052","Tsinjoarivo 22",1346.13720703125,13,1
"MG14119053","Mahajeby",1265.44604492188,9,1
"MG14119071","Ambohitromby",4214.08251953125,14,1
"MG14119072","Ambatomainty Atsimo",1199.78381347656,0,0
"MG21201001a","Fianarantsoa",9442.787109375,20,4
"MG21205010","Ambalavao",1698.53759765625,12,1
"MG21205030","Manamisoa",1623.13623046875,0,0
"MG21205050a","Volamena",1770.45373535156,0,0
