"ADM3_PCODE","ADM3_EN","ADM2_EN","ADM1_EN","est","lower","upper","pop_u5","n_stunted","cum_share"
"MG11117350","Ambohijanaka","Antananarivo Atsimondrano","Analamanga",0.55887770769802,0.47501910122491,0.634826549188112,7114.9970703125,3976.41325293438,0.165679897601514
"MG21201001a","Fianarantsoa","Fianarantsoa I","Haute Matsiatra",0.415788473263007,0.333720901546449,0.497870746781273,9442.787109375,3926.20203555464,0.167993698559082
"MG13105130","Imerintsiatosika","Arivonimamo","Itasy",0.532675408289014,0.462246653667421,0.615446723347245,7182.78076171875,3826.09067489901,0.170248501594473
"MG11117430","Tsiafahy","Antananarivo Atsimondrano","Analamanga",0.564597280703994,0.478351096938726,0.641850126241821,6743.4150390625,3807.3137937131,0.172492238982891
"MG25213010","Farafangana","Farafangana","Atsimo Atsinanana",0.460602428145857,0.355793804269031,0.560586007087966,8220.4990234375,3786.38181076596,0.174723640673413
"MG52516091","Ambondro","Ambovombe-Androy","Androy",0.472205415230346,0.371469663360238,0.564974072102984,7878.42724609375,3720.23600910377,0.176916061125111
"MG13105310","Miantsoarivo","Arivonimamo","Itasy",0.58992451481228,0.502877786457793,0.663154883981237,6149.2724609375,3627.60657296707,0.179053892924443
"MG11102010","Alasora","Antananarivo Avaradrano","Analamanga",0.519428922358595,0.441288957004397,0.591854111367383,6978.46337890625,3624.81571262419,0.181190080005731
"MG11103070","Antehiroka","Ambohidratrimo","Analamanga",0.492567799510058,0.373762551589461,0.62202209375208,7352.61376953125,3621.66078510536,0.183324407815834
"MG52516190","Imanombo","Antanimora Sud","Androy",0.438903622008715,0.346821879900114,0.525524095493268,8198.9140625,3598.53307856944,0.185445105937742
"MG23210010","Manakara","Manakara Atsimo","Fitovinany",0.393029376011641,0.292244968462853,0.483796684558371,9153.7685546875,3597.69994320381,0.187565313073862
"MG11117190","Ankaraobato","Antananarivo Atsimondrano","Analamanga",0.579260917853232,0.399865371920074,0.719257153895058,6200.16552734375,3591.51357421111,0.189681874440769
"MG12108001a","Antsirabe","Antsirabe I","Vakinankaratra",0.466926949017653,0.370340664783239,0.555793451133534,7675.82421875,3584.04918365675,0.191794036871032
"MG22204090","Tsarazaza","Fandriana","Amoron I Mania",0.575132897843063,0.495898547349579,0.64976133265451,6228.27490234375,3582.08579314818,0.193905042230211
"MG12118050","Alakamisy","Antsirabe II","Vakinankaratra",0.521315530040364,0.427010653967721,0.610531926499329,6862.220703125,3577.38222310357,0.196013275667627
"MG21224190","Andranovorivato","Vohibato","Haute Matsiatra",0.480547789625277,0.399216623118613,0.575754439363188,7437.51513671875,3574.08145925474,0.198119563889161
"MG11102099","Ambohimangakely","Antananarivo Avaradrano","Analamanga",0.48487808596029,0.38612269173754,0.573459603092414,7354.900390625,3566.23002383484,0.200221225079628
"MG22202010","Ambatofinandrahana","Ambatofinandrahana","Amoron I Mania",0.435351611265195,0.355568659904967,0.511221623022975,8174.17626953125,3558.64080970615,0.202318413772053
"MG12110310","Tsinjoarivo","Ambatolampy","Vakinankaratra",0.599063225161646,0.499790910027534,0.683298258196029,5902.35595703125,3535.88439567119,0.204402191587475
"MG11101003","3e Arrondissement","3e Arrondissement","Analamanga",0.387115093178541,0.309327735317489,0.462466186603917,9130.888671875,3534.70481901578,0.206485274251306
"MG23207111","Vohitrandriana","Nosy-Varika","Vatovavy",0.455444696536403,0.356779779583479,0.560555720914437,7667.52783203125,3492.1348866439,0.2085432694771
"MG11103210","Ampanotokana","Ambohidratrimo","Analamanga",0.520786451996221,0.422608370669976,0.618741124764233,6646.37744140625,3461.34332633768,0.210583118529805
"MG11103350","Antanetibe","Ambohidratrimo","Analamanga",0.512577796450087,0.420282656051503,0.600639313706884,6740.25146484375,3454.90324336908,0.21261917229383
"MG11103030","Anosiala","Ambohidratrimo","Analamanga",0.502779551234165,0.429550092660176,0.579113045960488,6829.73876953125,3433.8529935915,0.214642820662602
"MG33313070","Ambohitsilaozana","Ambatondrazaka","Alaotra Mangoro",0.429424380485856,0.329673396891499,0.541050936388136,7984.29541015625,3428.65111012241,0.216663403442074
"MG24216032","Ambia","Ihosy","Ihorombe",0.32499405048618,0.24306857984917,0.412806662264697,10504.251953125,3413.81938957346,0.21867524554827
"MG51507310","Itampolo","Ampanihy Ouest","Atsimo Andrefana",0.311697104308348,0.211645708596876,0.427907369860209,10924.5244140625,3405.14262580913,0.220681974238466
"MG41406090","Ankazomborona","Marovoay","Boeny",0.354037163344512,0.260927762662651,0.444580087082141,9615.947265625,3404.40269279229,0.222688266869156
"MG41405070","Madirovalo","Ambato Boeni","Boeny",0.315903223817877,0.231204057427396,0.401518836599552,10769.8466796875,3402.22928613754,0.224693278661428
"MG25213090","Vohitromby","Farafangana","Atsimo Atsinanana",0.487091351519367,0.399258926590191,0.577909249057215,6977.3330078125,3398.59856477608,0.226696150786286
"MG12116110","Vinaninony Atsimo","Faratsiho","Vakinankaratra",0.583365680972228,0.478575211119406,0.680298171906706,5774.58544921875,3368.69497291582,0.228681400038235
"MG52514011","Tsihombe","Tsihombe","Androy",0.433742066873596,0.332550781069151,0.521822557543142,7669.20947265625,3326.45876795648,0.230641758525371
"MG11102379a","Ambohidrabiby","Antananarivo Avaradrano","Analamanga",0.510181927731551,0.408677467000634,0.614261585616856,6445.66259765625,3288.46056957942,0.232579723802225
